#time, gyroX[]
311.864,0.0340885
311.969,0.0340885
312.074,0.0340885
312.179,0.0340885
312.284,0.0351537
312.389,0.0340885
312.494,0.0340885
312.599,0.0330232
312.704,0.0340885
312.809,0.0340885
312.914,0.0340885
313.019,0.0340885
313.124,0.0330232
313.229,0.0340885
313.334,0.0340885
313.439,0.0340885
313.544,0.0340885
313.649,0.0351537
313.754,0.0340885
313.859,0.0330232
313.964,0.0340885
314.069,0.0330232
314.174,0.0340885
314.279,0.0340885
314.384,0.0340885
314.489,0.0340885
314.594,0.0330232
314.699,0.0340885
314.804,0.0330232
314.909,0.0340885
315.014,0.0340885
315.119,0.0340885
315.224,0.0340885
315.329,0.0351537
315.434,0.0340885
315.539,0.0340885
315.644,0.0340885
315.749,0.0340885
315.854,0.0340885
315.959,0.0340885
316.064,0.0340885
316.169,0.0340885
316.274,0.0340885
316.379,0.0340885
316.484,0.0340885
316.589,0.0340885
316.694,0.0340885
316.799,0.0340885
316.904,0.0340885
317.009,0.0330232
317.114,0.0340885
317.219,0.0340885
317.324,0.0330232
317.429,0.0340885
317.534,0.0340885
317.639,0.0340885
317.744,0.0340885
317.849,0.0340885
317.954,0.0340885
318.059,0.0340885
318.164,0.0340885
318.269,0.0340885
318.374,0.0340885
318.479,0.0340885
318.584,0.0340885
318.689,0.0340885
318.794,0.0330232
318.899,0.0340885
319.004,0.0340885
319.109,0.0340885
319.214,0.0340885
319.319,0.0340885
319.424,0.0340885
319.529,0.0340885
319.634,0.0340885
319.739,0.0340885
319.844,0.0330232
319.949,0.0330232
320.054,0.0340885
320.159,0.0340885
320.264,0.0340885
320.369,0.0340885
320.474,0.0340885
320.579,0.0330232
320.684,0.0330232
320.789,0.0340885
320.894,0.0340885
320.999,0.0351537
321.104,0.0351537
321.209,0.0340885
321.314,0.0340885
321.419,0.0340885
321.524,0.0340885
321.629,0.0340885
321.734,0.0340885
321.839,0.0340885
321.944,0.0330232
322.049,0.0340885
322.154,0.0340885
322.259,0.0340885
322.364,0.0330232
322.469,0.0340885
322.574,0.0330232
322.679,0.0330232
322.784,0.0340885
322.889,0.0340885
322.994,0.0330232
323.099,0.0340885
323.204,0.0351537
323.309,0.0351537
323.414,0.0319579
323.519,0.0340885
323.624,0.0351537
323.729,0.0340885
323.834,0.0340885
323.939,0.0308927
324.044,0.0330232
324.149,0.0340885
324.254,-0.0671117
324.359,0
324.464,-0.0213053
324.569,-0.0383495
324.674,0.0798948
324.779,0.0436758
324.884,0.0639159
324.989,-0.0266316
325.094,-0.0266316
325.199,-0.127832
325.304,-0.198139
325.409,-0.129962
325.514,-0.015979
325.619,0.131028
325.724,-0.0191748
325.829,-0.144876
325.934,-0.259925
326.039,-0.379234
326.144,0.174703
326.249,0.300405
326.354,0.331297
326.459,0.233293
326.564,0.406931
326.669,0.219444
326.774,-0.0372843
326.879,-0.250337
326.984,-0.475108
327.089,-0.864995
327.194,-1.02265
327.299,-1.47646
327.404,-0.895887
327.509,0.0862864
327.614,1.59044
327.719,1.25488
327.824,1.01307
327.929,0.801079
328.034,0.780839
328.139,0.578439
328.244,0.213053
328.349,1.52439
328.454,2.22108
328.559,0.26099
328.664,-0.644485
328.769,-0.74462
328.874,0.269512
328.979,1.78432
329.084,0.782969
329.189,0.213053
329.294,0.412257
329.399,0.309992
329.504,-0.386691
329.609,-0.385626
329.714,-0.50387
329.819,-0.811732
329.924,-1.21973
330.029,-0.475108
330.134,-0.374973
330.239,-0.203466
330.344,-2.13586
330.449,-2.73986
330.554,-2.71216
330.659,-1.90256
330.764,-2.4288
330.869,-2.85278
330.974,-3.0914
331.079,-2.31482
331.184,-1.15155
331.289,-0.919323
331.394,-0.852212
331.499,-1.1867
331.604,-1.19736
331.709,-1.00774
331.814,-0.716923
331.919,-0.203466
332.024,0.259925
332.129,0.482565
332.234,0.648746
332.339,0.818123
332.444,0.632767
332.549,-0.307861
332.654,-0.475108
332.759,-0.0298274
332.864,0.452737
332.969,0.6839
333.074,1.04715
333.179,1.14836
333.284,0.992826
333.389,0.680704
333.494,0.419714
333.599,0.336624
333.704,0.0649811
333.809,-0.207727
333.914,-0.559264
334.019,-0.918258
334.124,-1.20375
334.229,-1.33052
334.334,-1.14942
334.439,-1.15155
334.544,-0.941694
334.649,-0.526241
334.754,-0.171508
334.859,0.558199
334.964,1.061
335.069,1.33797
335.174,1.4445
335.279,1.61494
335.384,1.42745
335.489,1.1899
335.594,0.903344
335.699,0.485761
335.804,0.092678
335.909,-0.396278
336.014,-0.968325
336.119,-1.45302
336.224,-1.61707
336.329,-1.51374
336.434,-1.29536
336.539,-1.29643
336.644,-1.15581
336.749,-0.78723
336.854,-0.343015
336.959,-0.237554
337.064,-0.380299
337.169,-0.613592
337.274,-0.0703075
337.379,0.0905475
337.484,-0.208792
337.589,0.072438
337.694,0.561394
337.799,1.27512
337.904,1.87806
338.009,2.25836
338.114,2.12307
338.219,1.75129
338.324,1.40082
338.429,0.918258
338.534,0.206661
338.639,-0.725445
338.744,-1.73212
338.849,-1.54357
338.954,-1.77686
339.059,-0.72438
339.164,-0.975782
339.269,-1.48391
339.374,-1.79284
339.479,-0.862864
339.584,-1.23251
339.689,-0.318514
339.794,0.629571
339.899,2.56196
340.004,3.82217
340.109,4.7841
340.214,4.48476
340.319,2.51615
340.424,2.13799
340.529,1.70442
340.634,1.18457
340.739,-0.363255
340.844,-1.27619
340.949,-1.01733
341.054,-0.173638
341.159,0.646616
341.264,0.520914
341.369,0.936367
341.474,0.781904
341.579,0.464455
341.684,-0.479369
341.789,-1.51374
341.894,-1.76408
341.999,-1.47113
342.104,-1.48498
342.209,-1.33052
342.314,-0.736098
342.419,-0.133158
342.524,0.280165
342.629,0.631702
342.734,0.423975
342.839,0.60294
342.944,0.470847
