#time, gyroZ[]
318.164,0
318.269,0
318.374,0
318.479,-0.00106526
318.584,0
318.689,0
318.794,0
318.899,-0.00106526
319.004,-0.00106526
319.109,0
319.214,0
319.319,0
319.424,0
319.529,0
319.634,0
319.739,0
319.844,0
319.949,0
320.054,0
320.159,0
320.264,0
320.369,-0.00106526
320.474,0
320.579,0
320.684,0
320.789,-0.00106526
320.894,-0.00106526
320.999,-0.00106526
321.104,-0.00106526
321.209,-0.00106526
321.314,-0.00106526
321.419,0
321.524,0
321.629,0
321.734,-0.00106526
321.839,0
321.944,-0.00106526
322.049,-0.00106526
322.154,0
322.259,0
322.364,-0.00106526
322.469,-0.00106526
322.574,0
322.679,0
322.784,0
322.889,-0.00106526
322.994,0
323.099,-0.00106526
323.204,-0.00106526
323.309,0
323.414,0
323.519,0
323.624,-0.00106526
323.729,-0.00852212
323.834,0.0138484
323.939,0.00106526
324.044,-0.00106526
324.149,-0.00106526
324.254,-0.0873517
324.359,-0.479369
324.464,0.00852212
324.569,-0.16192
324.674,-0.00532632
324.779,-0.00213053
324.884,0.00639159
324.989,-0.0351537
325.094,-0.04048
325.199,-0.0830906
325.304,-0.218379
325.409,-0.401605
325.514,-0.462325
325.619,-0.439954
325.724,0.165116
325.829,0.368582
325.934,0.192813
326.039,-0.0553938
326.144,-0.34195
326.249,-0.707336
326.354,-0.780839
326.459,-1.17073
326.564,-1.19629
326.669,-0.928911
326.774,-0.631702
326.879,-0.372843
326.984,-0.0276969
327.089,0.24075
327.194,0.0905475
327.299,-0.0266316
327.404,-0.0447411
327.509,0.258859
327.614,1.4903
327.719,2.39045
327.824,1.59577
327.929,0.828776
328.034,0.0809601
328.139,-0.0415453
328.244,-0.0511327
328.349,-0.668986
328.454,-1.30814
328.559,-0.742489
328.664,-0.366451
328.769,-0.36432
328.874,0.692422
328.979,2.18805
329.084,2.64612
329.189,2.00909
329.294,0.971521
329.399,0.568851
329.504,0.486826
329.609,0.50387
329.714,0.334493
329.819,0.0628506
329.924,-0.150202
330.029,-0.412257
330.134,-0.880974
330.239,-1.07379
330.344,-1.13877
330.449,-1.53824
330.554,-2.53426
330.659,-2.37554
330.764,-1.49137
330.869,-0.458064
330.974,1.00987
331.079,2.20084
331.184,2.59072
331.289,2.481
331.394,2.21788
331.499,1.46154
331.604,0.376038
331.709,-0.405866
331.814,-1.0365
331.919,-1.19949
332.024,-1.10787
332.129,-0.782969
332.234,-0.655138
332.339,-0.541154
332.444,-0.292948
332.549,0.381365
332.654,0.596548
332.759,0.517719
332.864,0.423975
332.969,0.211988
333.074,0.0223706
333.179,-0.194943
333.284,-0.314253
333.389,-0.306796
333.494,-0.238619
333.599,-0.233293
333.704,-0.363255
333.809,-0.324906
333.914,-0.233293
334.019,-0.232228
334.124,-0.183225
334.229,-0.190682
334.334,-0.0788296
334.439,0.115049
334.544,0.376038
334.649,0.52198
334.754,0.570982
334.859,0.545415
334.964,0.325971
335.069,0.0617853
335.174,0.16192
335.279,-0.00106526
335.384,-0.330232
335.489,-0.527306
335.594,-0.593352
335.699,-0.54435
335.804,-0.556068
335.909,-0.569916
336.014,-0.614658
336.119,-0.649811
336.224,-0.628506
336.329,-0.510262
336.434,-0.272708
336.539,0.0820254
336.644,0.32384
336.749,0.416518
336.854,0.552872
336.959,0.566721
337.064,0.441019
337.169,0.140615
337.274,0.0671117
337.379,0.642354
337.484,0.933172
337.589,0.931041
337.694,1.03011
337.799,0.765925
337.904,0.0234358
338.009,-0.773382
338.114,-1.24316
338.219,-1.32625
338.324,-1.04822
338.429,-0.76486
338.534,-0.506001
338.639,-0.285491
338.744,-0.44315
338.849,-0.915062
338.954,-1.57659
339.059,-2.45757
339.164,-2.03359
339.269,-1.21121
339.374,0.396278
339.479,2.48633
339.584,3.11057
339.689,2.87195
339.794,2.88261
339.899,3.00831
340.004,2.61309
340.109,0.719054
340.214,-1.31241
340.319,-2.10496
340.424,-1.52972
340.529,-1.2879
340.634,-0.243946
340.739,0.0692422
340.844,-0.187487
340.949,-0.738228
341.054,-0.662594
341.159,-0.487891
341.264,0.0852212
341.369,-0.230097
341.474,0.175769
341.579,0.0436758
341.684,-0.0447411
341.789,0.368582
341.894,0.911866
341.999,1.32412
342.104,1.47113
342.209,1.07805
342.314,0.490022
342.419,0.00745685
342.524,-0.302535
342.629,-0.292948
342.734,-0.334493
342.839,-0.250337
342.944,-0.250337
343.049,-0.299339
343.154,-0.874582
343.259,-1.23251
343.364,-1.79497
343.469,-2.53107
343.574,-2.11135
343.679,-0.667921
343.784,1.25701
343.889,2.66955
343.994,3.01576
344.099,2.80697
344.204,2.28073
344.309,2.20829
344.414,1.85249
344.519,1.10468
344.624,0.751011
344.729,-0.135289
344.834,-0.873517
344.939,-1.27086
345.044,-1.66394
345.149,-1.95902
345.254,-2.16355
345.359,-1.93345
345.464,-1.51587
345.569,-0.874582
345.674,-0.0266316
345.779,0.300405
345.884,0.496413
345.989,0.836233
346.094,1.08764
346.199,1.12918
346.304,1.4903
346.409,1.7481
346.514,1.35502
