#time, Temp[]
185.206,0.63
185.305,0.63
185.406,0.63
185.505,0.63
185.607,0.63
185.705,0.63
185.807,0.63
185.905,0.63
186.007,0.63
186.105,0.63
186.206,0.63
186.305,0.63
186.405,0.63
186.505,0.63
186.606,0.63
186.705,0.63
186.807,0.63
186.905,0.63
187.006,0.63
187.105,0.63
187.207,0.63
187.305,0.63
187.407,0.63
187.505,0.63
187.607,0.63
187.705,0.63
187.807,0.63
187.905,0.63
188.005,0.63
188.105,0.63
188.205,0.63
188.305,0.63
188.405,0.63
188.505,0.63
188.605,0.63
188.705,0.63
188.805,0.63
188.905,0.63
189.007,0.63
189.105,0.63
189.205,0.63
189.305,0.63
189.406,0.63
189.505,0.63
189.606,0.63
189.705,0.63
189.806,0.63
189.905,0.63
190.006,0.63
190.105,0.63
190.206,0.63
190.305,0.63
190.407,0.63
190.505,0.63
190.605,0.63
190.705,0.63
190.807,0.63
190.905,0.63
191.007,0.63
191.105,0.63
191.207,0.63
191.305,0.63
191.406,0.63
191.505,0.63
191.607,0.63
191.705,0.63
191.806,0.63
191.905,0.63
192.007,0.63
192.105,0.63
192.206,0.63
192.305,0.63
192.407,0.63
192.505,0.63
192.607,0.63
192.705,0.63
192.807,0.63
192.905,0.63
193.005,0.63
193.105,0.63
193.205,0.63
193.305,0.63
193.405,0.63
193.505,0.63
193.605,0.63
193.705,0.63
193.807,0.63
193.905,0.63
194.007,0.63
194.105,0.63
194.207,0.63
194.305,0.63
194.406,0.63
194.505,0.63
194.606,0.63
194.705,0.63
194.807,0.63
194.905,0.63
195.007,0.63
195.105,0.63
195.207,0.63
195.305,0.63
195.406,0.63
195.505,0.63
195.606,0.63
195.705,0.63
195.806,0.63
195.905,0.63
196.005,0.63
196.105,0.63
196.206,0.63
196.305,0.63
196.406,0.63
196.505,0.63
196.607,0.63
196.705,0.63
196.807,0.63
196.905,0.63
197.006,0.63
197.105,0.63
197.207,0.63
197.305,0.63
197.407,0.63
197.505,0.63
197.607,0.63
197.705,0.63
197.807,0.63
197.905,0.63
198.007,0.63
198.105,0.63
198.207,0.63
198.305,0.63
198.407,0.63
198.505,0.63
198.607,0.63
198.705,0.63
198.805,0.63
198.905,0.63
199.007,0.63
199.105,0.63
199.207,0.63
199.305,0.63
199.407,0.63
199.505,0.63
199.607,0.63
199.705,0.63
199.807,0.63
199.905,0.63
200.006,0.63
200.105,0.63
200.205,0.63
200.305,0.63
200.407,0.63
200.505,0.63
200.606,0.63
200.705,0.63
200.805,0.63
200.905,0.63
201.007,0.63
201.105,0.63
201.206,0.63
201.305,0.63
201.407,0.63
201.505,0.63
201.606,0.63
201.705,0.63
201.807,0.63
201.905,0.63
202.006,0.63
202.105,0.63
202.207,0.63
202.305,0.63
202.407,0.63
202.505,0.63
202.607,0.63
202.705,0.63
202.807,0.63
202.905,0.63
203.007,0.63
203.105,0.63
203.206,0.63
203.305,0.63
203.407,0.63
203.505,0.63
203.606,0.63
203.705,0.63
203.807,0.63
203.905,0.63
204.007,0.63
204.105,0.63
204.207,0.63
204.305,0.63
204.407,0.63
204.505,0.63
204.607,0.63
204.705,0.63
204.807,0.63
204.905,0.63
205.007,0.63
205.105,0.63
205.206,0.63
205.305,0.63
205.407,0.63
205.505,0.63
205.606,0.63
205.705,0.63
205.805,0.63
205.905,0.63
206.006,0.63
206.105,0.63
206.207,0.63
206.305,0.63
206.407,0.63
206.505,0.63
206.606,0.63
206.705,0.63
206.806,0.63
206.905,0.63
207.007,0.63
207.105,0.63
207.205,0.63
207.305,0.63
207.407,0.63
207.505,0.63
207.607,0.63
207.705,0.63
207.807,0.63
207.905,0.63
208.007,0.63
208.105,0.63
208.207,0.63
208.305,0.63
208.407,0.63
208.505,0.63
208.607,0.63
208.705,0.63
208.807,0.63
208.905,0.63
209.007,0.63
209.105,0.63
