#time, accZ[]
158.647,-10.4303
158.752,-10.4327
158.857,-10.4471
158.962,-10.4567
159.067,-10.4758
159.172,-10.4614
159.277,-10.4567
159.382,-10.4351
159.487,-10.4375
159.592,-10.4734
159.697,-10.4878
159.802,-10.4758
159.907,-10.4423
160.012,-10.4662
160.117,-10.4638
160.222,-10.4495
160.327,-10.4662
160.432,-10.4375
160.537,-10.4471
160.642,-10.4543
160.747,-10.4638
160.852,-10.4567
160.957,-10.4638
161.062,-10.4782
161.167,-10.4543
161.272,-10.471
161.377,-10.4447
161.482,-10.4902
161.587,-10.4591
161.692,-10.4375
161.797,-10.4806
161.902,-10.4902
162.007,-10.4686
162.112,-10.4519
162.217,-10.4447
162.322,-10.4471
162.427,-10.4255
162.532,-10.4567
162.637,-10.4758
162.742,-10.4519
162.847,-10.4758
162.952,-10.4471
163.057,-10.4255
163.162,-10.4782
163.267,-10.4471
163.372,-10.4806
163.477,-10.471
163.582,-10.4734
163.687,-10.4614
163.792,-10.4638
163.897,-10.4614
164.002,-10.4543
164.107,-10.4854
164.212,-10.4686
164.317,-10.4567
164.422,-10.4638
164.527,-10.4614
164.632,-10.4806
164.737,-10.4423
164.842,-10.4519
164.947,-10.4279
165.052,-10.4806
165.157,-10.4686
165.262,-10.471
165.367,-10.495
165.472,-10.4495
165.577,-10.4447
165.682,-10.4662
165.787,-10.4447
165.892,-10.4662
165.997,-10.4207
166.102,-10.4351
166.207,-10.4567
166.312,-10.4447
166.417,-10.4974
166.522,-10.4471
166.627,-10.4543
166.732,-10.4567
166.837,-10.4974
166.942,-10.4806
167.047,-10.4686
167.152,-10.4662
167.257,-10.4519
167.362,-10.4495
167.467,-10.471
167.572,-10.4734
167.677,-10.4495
