#time, GyrY[]
364.667,0.0959105
364.687,0.100585
364.707,0.096408
364.727,0.0983564
364.747,0.0994416
364.767,0.101225
364.788,0.0934135
364.807,0.0977715
364.827,0.0969372
364.847,0.102446
364.867,0.0942272
364.887,0.105578
364.906,0.104997
364.927,0.10354
364.947,0.0951607
364.967,0.0967874
364.988,0.0984812
365.007,0.105902
365.027,0.100946
365.047,0.105042
365.067,0.0939782
365.087,0.100084
365.106,0.101153
365.127,0.0944573
365.147,0.0985986
365.167,0.0999036
365.188,0.104803
365.207,0.0937745
365.227,0.0941735
365.247,0.0973127
365.267,0.105243
365.287,0.0922056
365.306,0.0977849
365.327,0.0956738
365.347,0.0990032
365.367,0.0990072
365.388,0.100975
365.407,0.0969338
365.427,0.0993768
365.447,0.0966751
365.467,0.0979686
365.487,0.0938419
365.506,0.097698
365.527,0.0962622
365.547,0.0891067
365.567,0.0893266
365.588,0.100192
365.606,0.0944783
365.627,0.0986816
365.647,0.0984516
365.667,0.10314
365.687,0.0958196
365.707,0.108828
365.727,0.102073
365.747,0.0943542
365.767,0.0992802
365.788,0.0967035
365.807,0.0959284
365.827,0.0968277
365.847,0.102524
365.867,0.103841
365.886,0.0997228
365.907,0.0968312
365.927,0.0908586
365.947,0.0940636
365.967,0.0951139
365.988,0.0976575
366.007,0.0916863
366.027,0.0996191
366.047,0.108697
366.067,0.0955956
366.087,0.103271
366.107,0.0948555
366.127,0.103154
366.147,0.107027
366.167,0.102292
366.188,0.104807
366.206,0.106981
366.227,0.107153
366.247,0.0999428
366.267,0.095511
366.286,0.093433
366.307,0.100689
366.327,0.100123
366.347,0.0935163
366.367,0.0965196
366.388,0.094053
366.407,0.101744
366.427,0.0948237
366.447,0.107817
366.467,0.107184
366.487,0.0973032
366.506,0.0947831
366.527,0.0976982
366.547,0.0986754
366.567,0.0995369
366.587,0.0957366
366.608,0.0892031
366.627,0.0938888
366.647,0.103443
366.667,0.104614
366.687,0.0951293
366.707,0.0965145
366.727,0.101458
366.747,0.0985655
366.767,0.0923366
366.788,0.0999749
366.807,0.0975427
366.827,0.0988194
366.847,0.102323
366.867,0.104873
366.887,0.111745
366.907,0.0939321
366.927,0.0984803
366.947,0.0952116
366.967,0.0991824
366.988,0.101651
367.006,0.0985435
367.027,0.0951014
367.047,0.0915048
367.067,0.100346
367.086,0.0984972
367.106,0.09747
367.127,0.0998838
367.147,0.100767
367.167,0.0916426
367.188,0.0996166
367.206,0.100619
367.227,0.0923981
367.247,0.0995186
367.267,0.102366
367.286,0.104736
367.307,0.102658
367.327,0.0949691
367.347,0.110074
367.367,0.101966
367.388,0.102582
367.407,0.105762
367.427,0.0979563
367.447,0.106762
367.467,0.100501
367.486,0.100243
367.507,0.1011
367.527,0.0986981
367.547,0.0981711
367.567,0.0990794
367.587,0.0972278
367.608,0.104383
367.627,0.0972788
367.647,0.0999261
367.667,0.105185
367.687,0.0987718
367.707,0.09239
367.727,0.100801
367.747,0.100719
367.767,0.102441
367.788,0.104817
367.807,0.102855
367.827,0.0945255
367.847,0.0984184
367.867,0.0982366
367.887,0.0980035
367.907,0.0987547
367.927,0.0976224
367.947,0.101281
367.967,0.108422
367.988,0.107482
368.007,0.104941
368.027,0.10336
368.047,0.103926
368.067,0.100784
368.087,0.0957541
368.107,0.102635
368.127,0.103519
368.147,0.104147
368.167,0.0984704
368.188,0.0986307
368.207,0.101568
368.227,0.107616
368.247,0.0950651
368.267,0.0957622
368.287,0.104019
368.307,0.10015
368.327,0.105009
368.347,0.09974
368.367,0.0983386
368.388,0.102114
368.407,0.0989477
368.427,0.103027
368.447,0.101443
368.467,0.100645
368.487,0.103228
368.506,0.100887
368.527,0.0981844
368.547,0.105491
368.567,0.105729
368.586,0.101339
368.608,0.100678
368.627,0.0988645
368.647,0.10059
368.667,0.0950886
368.687,0.0984273
368.707,0.10336
368.727,0.102357
368.747,0.100341
368.767,0.0954826
368.787,0.104251
368.808,0.0978936
368.827,0.0965725
368.847,0.0997866
368.867,0.0967705
368.886,0.104934
368.907,0.100569
368.927,0.10031
368.947,0.100672
368.967,0.0994694
368.988,0.0991221
369.007,0.0896554
369.027,0.0906995
369.047,0.100387
369.067,0.095136
369.086,0.0970746
369.107,0.0966246
369.127,0.0920646
369.147,0.0981592
369.167,0.105682
369.188,0.0980661
369.207,0.100792
369.227,0.105804
369.247,0.108933
369.267,0.103861
369.286,0.104692
369.307,0.0966245
369.327,0.096136
369.347,0.0932819
369.367,0.101277
369.389,0.0989931
369.407,0.0876281
369.427,0.102259
369.447,0.104538
369.467,0.104837
369.487,0.0988928
369.507,0.0975287
369.527,0.10657
369.547,0.103128
369.567,0.0999098
369.587,0.102455
369.608,0.106589
369.627,0.101091
369.647,0.0956268
369.667,0.0988114
369.687,0.0938278
369.707,0.0993156
369.727,0.100148
369.747,0.100966
369.767,0.101157
369.788,0.101564
369.807,0.102036
369.827,0.0987447
369.847,0.0987885
369.867,0.0986733
369.887,0.100475
369.906,0.0936818
369.927,0.0998544
369.947,0.100315
369.967,0.0979188
369.988,0.0962514
370.007,0.0933124
370.027,0.0921983
370.047,0.09936
370.067,0.0995281
370.087,0.098075
370.106,0.0963387
370.127,0.0968277
370.147,0.097326
370.167,0.0967528
370.188,0.099142
370.206,0.1002
370.227,0.100207
370.247,0.0973249
370.267,0.098323
370.287,0.0970318
370.307,0.106839
370.327,0.0992792
370.347,0.0964187
370.367,0.100475
370.388,0.0989307
370.407,0.0882366
370.427,0.100401
370.447,0.106454
370.467,0.0958902
370.486,0.100576
370.507,0.102226
370.527,0.0949332
370.547,0.100447
370.567,0.0974095
370.588,0.101105
370.606,0.103395
370.627,0.101406
370.647,0.0920673
370.667,0.0996393
370.687,0.0930201
370.707,0.098768
370.727,0.0927074
370.747,0.104032
370.767,0.0964955
370.788,0.103772
370.807,0.101798
370.827,0.089926
370.847,0.0998396
370.867,0.107795
370.887,0.0873354
370.907,0.100557
370.927,0.0931869
370.947,0.098439
370.967,0.103873
370.988,0.102766
371.007,0.104507
371.027,0.102358
371.047,0.0997216
371.067,0.0995127
371.086,0.0971808
371.107,0.0968511
371.127,0.094695
371.147,0.108566
371.167,0.104547
371.188,0.0984537
371.207,0.0970488
371.227,0.0938239
371.247,0.092473
371.267,0.0923632
371.286,0.0915935
371.307,0.0950898
371.327,0.0968968
371.347,0.0970839
371.367,0.0974396
371.388,0.103173
371.407,0.0957233
371.427,0.0985584
371.447,0.0973098
371.467,0.10081
371.487,0.0992756
371.506,0.0989447
371.527,0.0939873
371.547,0.100686
371.567,0.101865
371.588,0.0989843
371.607,0.105557
371.627,0.100154
371.647,0.0974479
371.667,0.0983461
371.687,0.0983471
371.707,0.103368
371.727,0.0998211
371.747,0.095398
371.767,0.0994252
371.788,0.103173
371.807,0.0984198
371.827,0.102579
371.847,0.0983961
371.867,0.0964133
371.887,0.0956177
371.906,0.097512
371.927,0.102799
371.947,0.102303
371.967,0.107905
371.988,0.0977347
372.007,0.0984726
372.027,0.101965
372.047,0.0997385
372.067,0.105131
